epsilon,sample_index,cluster_id,final_bits,stable,residual_norm,max_real_eig,x_initial,y_initial,x_final,y_final
0.0,63,1,110,1,2.3075552e-16,-1.1298438,-1.9982517 -1.5544249 -0.82124466,-1.2932088 -1.3010778 1.3390267,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,64,3,001,1,2.3075552e-16,-1.1298438,-1.3933165 -0.66430415 1.8633085,0.10109195 0.57805149 -0.63720994,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,65,4,000,1,2.3075552e-16,-1.1298438,0.6642405 -1.3477752 -0.61564284,1.2198349 0.68865634 -0.11333023,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,66,1,110,1,2.3075552e-16,-1.1298438,-0.16844132 0.9691583 -0.40859168,-0.20249794 0.20313137 0.17924699,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,67,0,010,1,1.93574e-16,-1.1298438,-0.15824861 0.41798319 -1.4005378,0.71671991 -1.0123371 0.92578214,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,68,6,011,1,2.3075552e-16,-1.1298438,0.29081931 1.7432799 -0.33057538,0.47511071 -1.2796198 -0.58970914,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,69,6,011,1,2.3075552e-16,-1.1298438,-1.3511544 0.6739525 -1.515621,-0.0045330972 -0.74198352 -0.9964925,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,70,1,110,1,2.3075552e-16,-1.1298438,1.2533883 -1.0247102 -1.6805107,-0.3227346 -0.86784726 0.64205635,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,71,2,101,1,2.3075552e-16,-1.1298438,0.47479408 1.7957631 1.4053691,-0.58168768 1.0829451 -0.74103186,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,72,2,101,1,1.4728773e-16,-1.1298438,1.4138037 -1.4199946 1.7145045,0.19334121 -0.12761906 -0.29116148,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,73,3,001,1,2.3075552e-16,-1.1298438,-0.49011127 -1.3710734 0.52481995,-0.43243405 1.1413056 -1.1289998,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,74,6,011,1,2.3075552e-16,-1.1298438,-0.12807457 0.34141974 0.91589134,0.46565814 -0.22040339 0.6946175,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,75,2,101,1,1.93574e-16,-1.1298438,0.83997846 -0.47369095 -0.28794163,-0.43648429 0.83259734 -1.0710595,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,76,4,000,1,1.93574e-16,-1.1298438,1.2620739 0.35249988 -0.51541458,1.3272352 1.3734352 1.4058155,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,77,7,111,1,2.3075552e-16,-1.1298438,-1.596393 -0.037754034 1.6833682,-1.4734008 -0.60011521 -0.12148245,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,78,0,010,1,1.93574e-16,-1.1298438,-0.88782119 0.28607056 0.14483482,1.0323185 -0.78141843 0.76823598,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,79,7,111,1,2.3075552e-16,-1.1298438,-0.025960229 1.8610853 1.4331566,-1.4383142 -0.30131679 -0.73485087,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,80,7,111,1,2.3075552e-16,-1.1298438,-0.047817 1.9848435 0.31695382,-1.2929361 0.74212332 -0.89747349,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,81,7,111,1,2.3075552e-16,-1.1298438,-0.14898312 0.54376582 1.6511817,-0.47615534 0.49512962 -1.3940335,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,82,3,001,1,2.3075552e-16,-1.1298438,-1.7502973 -0.29834006 0.3592681,-0.64987666 0.72798305 -0.53734802,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,83,6,011,1,2.3075552e-16,-1.1298438,-0.91916066 0.78366863 0.83444944,1.4285579 -1.1017656 -1.2109272,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,84,2,101,1,2.3075552e-16,-1.1298438,1.3269403 -0.89498251 1.6248361,0.21480643 0.30515884 -1.4858826,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,85,1,110,1,2.3075552e-16,-1.1298438,0.265526 1.481996 1.9752715,-0.35819938 -0.9960951 1.2114336,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,86,6,011,1,1.93574e-16,-1.1298438,-0.34248503 -0.19088197 -0.12333531,0.14230638 -1.3180842 -1.4543318,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,87,2,101,1,2.3075552e-16,-1.1298438,1.068356 0.53052891 -0.42337114,0.46359995 0.63838371 -0.62661357,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,88,4,000,1,2.3075552e-16,-1.1298438,-0.43209841 -1.0103687 -1.4475202,0.27540935 0.71296006 0.32355856,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,89,0,010,1,2.3075552e-16,-1.1298438,-0.97838165 0.56565616 -0.35576858,-0.16037327 -1.4608732 0.83710795,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,90,5,100,1,2.3075552e-16,-1.1298438,1.589626 -0.83358618 -0.55256976,-0.02552881 -0.30662816 -0.39176274,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,91,1,110,1,1.93574e-16,-1.1298438,0.9838648 0.61425668 -0.71658795,0.40371437 0.55057006 -0.17978207,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,92,3,001,1,1.93574e-16,-1.1298438,-0.95697138 1.4516204 -1.9770287,0.65790731 0.92690429 -0.86715817,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,93,0,010,1,1.93574e-16,-1.1298438,0.28000416 1.9283593 -0.79365587,0.3455421 -0.25885694 -0.17693747,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,94,1,110,1,1.93574e-16,-1.1298438,1.0108466 0.18060367 -0.89019236,0.72425441 0.17775802 -0.57621826,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,95,1,110,1,2.3075552e-16,-1.1298438,0.3882683 0.96894603 -1.7439481,-1.0036854 -0.44205928 -0.75225548,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,96,3,001,1,2.3075552e-16,-1.1298438,0.26551477 -1.8037095 1.6704645,0.70627008 -0.2412638 -1.0442734,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,97,6,011,1,2.3075552e-16,-1.1298438,-1.7490471 0.95680495 0.26601955,-0.25482911 -0.55824215 -1.3374897,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,98,5,100,1,2.3075552e-16,-1.1298438,1.0336624 -1.1567429 -0.92916798,-0.80136147 0.19912218 -0.6288919,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,99,1,110,1,1.93574e-16,-1.1298438,-1.5650465 1.4909784 -1.3067698,-0.85202914 0.72131143 -0.12246737,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,100,1,110,1,1.93574e-16,-1.1298438,1.7389456 1.5789348 0.24331604,-1.0083305 -0.57657817 0.49115665,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,101,4,000,1,2.3075552e-16,-1.1298438,-0.81109841 0.051375586 -1.5108895,0.18334829 1.3253931 0.36735096,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,102,3,001,1,2.3075552e-16,-1.1298438,-0.85173302 -1.5370302 0.39237209,0.15473872 0.76579809 -1.4944189,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,103,4,000,1,2.3075552e-16,-1.1298438,-1.391942 0.4600191 0.29803467,0.6075389 1.1818179 0.8040897,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,104,1,110,1,2.3075552e-16,-1.1298438,0.44259344 1.976538 -0.65296991,-0.77739605 -0.69425329 0.38479891,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,105,5,100,1,2.3075552e-16,-1.1298438,-1.5219573 -0.36839008 -0.62271266,-1.142258 0.9871168 1.0016472,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,106,2,101,1,1.93574e-16,-1.1298438,-0.99441762 -1.6434404 0.50890918,-0.88800242 0.25052614 -0.32793824,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,107,5,100,1,1.93574e-16,-1.1298438,1.4427557 -0.75298737 0.0791331,-1.253764 -0.40665216 1.2086524,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,108,4,000,1,2.3075552e-16,-1.1298438,-1.4185323 1.0114524 -0.19854509,0.1929906 1.1835469 1.2037587,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,109,1,110,1,1.93574e-16,-1.1298438,-0.25662558 1.9751873 -0.86222355,-0.83144213 0.34864603 0.271236,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,110,6,011,1,1.93574e-16,-1.1298438,0.082743832 -0.77174031 -0.2665239,0.13933985 -1.4202394 -1.3051083,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,111,0,010,1,2.3075552e-16,-1.1298438,-1.8455907 1.3558143 0.47961998,-0.5601408 0.22342153 1.13182,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,112,4,000,1,2.3075552e-16,-1.1298438,-1.6015723 -1.2147851 -0.68070414,-0.12545334 -0.42586767 1.0453405,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,113,5,100,1,1.93574e-16,-1.1298438,0.18205578 -1.6942845 -0.94794589,0.021589619 0.77690499 0.38618871,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,114,3,001,1,2.3075552e-16,-1.1298438,1.9846221 -0.71000936 0.47965539,1.3776912 -0.15722987 -1.0167974,-1.2247449 -1.2247449 1.2247449,-0.61237244 -0.61237244 0.61237244
0.0,115,4,000,1,2.3075552e-16,-1.1298438,-1.0808874 -0.38873614 -1.5011134,-0.074544834 1.4100549 1.1346572,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,116,7,111,1,2.3075552e-16,-1.1298438,0.38490551 1.7479257 0.5142941,-1.2579301 0.46350781 0.26512162,1.2247449 1.2247449 1.2247449,0.61237244 0.61237244 0.61237244
0.0,117,2,101,1,1.93574e-16,-1.1298438,0.58227444 -0.96233345 0.93096533,0.10105618 1.4010633 -1.1146655,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,118,4,000,1,2.3075552e-16,-1.1298438,0.10194858 1.4114507 -1.3313161,0.81582115 1.3036914 0.71384318,-1.2247449 -1.2247449 -1.2247449,-0.61237244 -0.61237244 -0.61237244
0.0,119,2,101,1,2.3075552e-16,-1.1298438,0.61307528 -1.1346133 1.7133727,-1.2529816 -0.4027858 -1.3327748,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,120,1,110,1,1.93574e-16,-1.1298438,-0.13119576 0.94739912 0.0075396897,-0.7980638 0.39273895 0.71531332,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,121,0,010,1,2.3075552e-16,-1.1298438,-0.9854257 -0.68698121 -1.1746152,-0.13997723 -1.3233834 -0.24973031,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,122,2,101,1,2.3075552e-16,-1.1298438,-1.6620059 -0.95775742 1.964309,-1.2919833 -0.61471912 -0.35868933,1.2247449 -1.2247449 1.2247449,0.61237244 -0.61237244 0.61237244
0.0,123,5,100,1,1.93574e-16,-1.1298438,1.322346 -1.5459095 1.7112344,0.66529486 1.1958155 0.95891041,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,124,1,110,1,2.3075552e-16,-1.1298438,0.350802 -1.787895 1.6140381,0.24998105 -0.99160458 1.3587911,1.2247449 1.2247449 -1.2247449,0.61237244 0.61237244 -0.61237244
0.0,125,6,011,1,2.3075552e-16,-1.1298438,-1.3444589 -1.2179143 0.42154069,0.71331306 -1.1039109 -0.31778577,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,126,0,010,1,2.3075552e-16,-1.1298438,-0.20523723 -0.16919939 -0.083844223,-0.14433417 -1.4475045 1.3042911,-1.2247449 1.2247449 -1.2247449,-0.61237244 0.61237244 -0.61237244
0.0,127,6,011,1,1.93574e-16,-1.1298438,0.30982116 0.82430693 0.65120494,1.3703561 0.16107732 -0.44208459,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
0.0,128,5,100,1,2.3075552e-16,-1.1298438,1.0113505 -1.2720304 0.37725983,0.71617985 0.20799 1.0233224,1.2247449 -1.2247449 -1.2247449,0.61237244 -0.61237244 -0.61237244
0.0,129,6,011,1,1.93574e-16,-1.1298438,-1.4264082 1.257996 1.7703644,1.0491721 -0.35821316 -1.0408939,-1.2247449 1.2247449 1.2247449,-0.61237244 0.61237244 0.61237244
