edge_id,i,j,conductance
464,7,52,0.133087156989
465,7,53,4.39078352484e-14
466,7,54,3.55274098937e-10
467,7,55,0.1
468,7,56,0.1
469,7,57,0.1
470,7,58,0.1
471,7,59,0.1
472,7,60,0.1
473,7,61,0.1
474,7,62,0.1
475,7,63,0.1
476,8,9,6.06494301241e-12
477,8,10,4.42736148235e-13
478,8,11,3.47552749212e-10
479,8,12,2.84730935836e-10
480,8,13,8.26367356538e-12
481,8,14,3.24855426363e-11
482,8,15,0.1
483,8,16,0.1
484,8,17,1.75318094671e-10
485,8,18,1.09350208724e-10
486,8,19,3.56940182491e-10
487,8,20,1.99615798482e-10
488,8,21,1.7998527256e-16
489,8,22,1.20652921054e-10
490,8,23,0.1
491,8,24,0.1
492,8,25,2.5307554191e-10
493,8,26,2.82000434381e-10
494,8,27,1.13225408597e-10
495,8,28,2.00304867099e-18
496,8,29,2.49310909524e-12
497,8,30,2.64229619084e-10
498,8,31,0.1
499,8,32,0.1
500,8,33,1.61639923486e-10
501,8,34,1.44563074549e-10
502,8,35,2.45305611924e-10
503,8,36,2.08171036535e-10
504,8,37,5.73650393724e-11
505,8,38,4.76124140566e-11
506,8,39,0.1
507,8,40,0.1
508,8,41,1.25693428639e-10
509,8,42,5.47820769443e-11
510,8,43,3.98237474454e-10
511,8,44,2.46447220594e-10
512,8,45,4.53386148242e-11
513,8,46,1.49490381221e-10
514,8,47,0.1
515,8,48,0.1
516,8,49,6.92776165282e-10
517,8,50,8.3021364204e-12
518,8,51,0.128052173886
519,8,52,0.141012217709
520,8,53,3.2027342477e-14
521,8,54,3.61547277208e-10
522,8,55,0.1
523,8,56,0.1
524,8,57,0.1
525,8,58,0.1
526,8,59,0.1
527,8,60,0.1
528,8,61,0.1
529,8,62,0.1
530,8,63,0.1
531,9,10,6.41158745037e-10
532,9,11,9.37395224107e-12
533,9,12,8.46017736776e-12
534,9,13,3.09669488459e-10
535,9,14,4.93177143225e-10
536,9,15,7.46635955578e-13
537,9,16,3.02804126568e-12
538,9,17,2.58768217632e-10
539,9,18,1.12957261655e-10
540,9,19,6.13234507075e-11
541,9,20,1.50805141764e-11
542,9,21,3.54466545663e-10
543,9,22,3.76128767869e-10
544,9,23,1.89893768632e-12
545,9,24,2.91349987525e-12
546,9,25,4.1495142036e-11
547,9,26,1.36215113335e-10
548,9,27,1.58320164683e-10
549,9,28,1.24360126175e-10
550,9,29,5.83733698133e-10
551,9,30,8.67956879169e-11
552,9,31,1.18525815635e-12
553,9,32,1.59847275942e-12
554,9,33,5.5257015706e-11
555,9,34,7.48696115511e-11
556,9,35,2.65881458358e-11
557,9,36,1.22736756181e-11
558,9,37,2.28531221168e-10
559,9,38,2.1418993274e-10
560,9,39,1.56414478308e-12
561,9,40,2.67965797639e-12
562,9,41,4.80417718625e-10
563,9,42,4.81566071286e-10
564,9,43,4.05663562365e-11
565,9,44,1.42699008673e-11
566,9,45,1.83963547223e-10
567,9,46,3.31392978284e-10
568,9,47,7.99767227725e-12
569,9,48,2.78142953337e-12
570,9,49,1.91225827251e-13
571,9,50,2.51629271428e-10
572,9,51,7.02273944733e-10
573,9,52,5.65208192923e-10
574,9,53,2.27784585361e-10
575,9,54,3.77434486281e-11
576,9,55,3.10994480683e-12
577,9,56,1.3497557218e-12
578,9,57,1.31043090503e-12
579,9,58,1.95491402051e-12
580,9,59,4.01568622713e-12
581,9,60,4.26467462601e-12
582,9,61,3.71149692835e-12
583,9,62,1.67006964663e-12
584,9,63,3.06545486155e-12
585,10,11,5.64610279312e-11
586,10,12,6.37548619734e-11
587,10,13,3.2622525394e-10
588,10,14,4.65898637696e-10
589,10,15,1.09612722742e-12
590,10,16,1.00559011641e-12
591,10,17,3.66499477206e-10
592,10,18,1.43247607466e-10
593,10,19,7.742397573e-11
594,10,20,7.08904262705e-11
595,10,21,2.02308515657e-10
596,10,22,3.44582394958e-10
597,10,23,1.83238004063e-14
598,10,24,4.4452896194e-12
599,10,25,4.25498680508e-11
600,10,26,1.34399271085e-10
601,10,27,3.35107754231e-10
602,10,28,2.63217775752e-10
603,10,29,2.80076232961e-10
604,10,30,1.03112062162e-10
605,10,31,1.95161795803e-12
606,10,32,1.19013726335e-11
607,10,33,4.36673002654e-11
608,10,34,6.88873446559e-11
609,10,35,8.48341982164e-11
610,10,36,5.99583820331e-11
611,10,37,1.60257407329e-10
612,10,38,1.38545726205e-10
613,10,39,9.06977445776e-13
614,10,40,9.45087659967e-13
615,10,41,3.65172940077e-10
616,10,42,3.58219861222e-10
617,10,43,2.46197762092e-11
618,10,44,6.87347874005e-11
619,10,45,1.3245457976e-10
620,10,46,2.67765961304e-10
621,10,47,1.01835704787e-12
622,10,48,1.35338207329e-12
623,10,49,1.24108133855e-11
624,10,50,8.38220723996e-10
625,10,51,8.13886468082e-10
626,10,52,8.02603564605e-10
627,10,53,2.75102882752e-10
628,10,54,5.25094062094e-11
629,10,55,6.05231689419e-22
630,10,56,6.40404086892e-13
631,10,57,6.44490236335e-13
632,10,58,6.69541019589e-12
633,10,59,8.56063851883e-13
634,10,60,8.1569173488e-13
635,10,61,1.8264762326e-14
636,10,62,4.78951856826e-12
637,10,63,2.33014135561e-12
638,11,12,0.1
639,11,13,3.3585536988e-11
640,11,14,8.47186103976e-12
641,11,15,3.08429408903e-10
