edge_id,i,j,conductance
157,2,35,0.1
158,2,36,0.1
159,2,37,0.1
160,2,38,0.1
161,2,39,0.1
162,2,40,0.1
163,2,41,0.1
164,2,42,0.1
165,2,43,0.1
166,2,44,0.1
167,2,45,0.1
168,2,46,0.1
169,2,47,0.1
170,2,48,0.1
171,2,49,0.1
172,2,50,0.1
173,2,51,0.1
174,2,52,0.1
175,2,53,0.1
176,2,54,0.1
177,2,55,0.1
178,2,56,0.1
179,2,57,0.1
180,2,58,0.1
181,2,59,0.1
182,2,60,0.1
183,2,61,0.1
184,2,62,0.1
185,2,63,0.1
186,3,4,0.1
187,3,5,0.1
188,3,6,0.1
189,3,7,0.1
190,3,8,0.1
191,3,9,0.1
192,3,10,0.1
193,3,11,0.1
194,3,12,0.1
195,3,13,0.1
196,3,14,0.1
197,3,15,0.1
198,3,16,0.1
199,3,17,0.1
200,3,18,0.1
201,3,19,0.1
202,3,20,0.1
203,3,21,0.1
204,3,22,0.1
205,3,23,0.1
206,3,24,0.1
207,3,25,0.1
208,3,26,0.1
209,3,27,0.1
210,3,28,0.1
211,3,29,0.1
212,3,30,0.1
213,3,31,0.1
214,3,32,0.1
215,3,33,0.1
216,3,34,0.1
217,3,35,0.1
218,3,36,0.1
219,3,37,0.1
220,3,38,0.1
221,3,39,0.1
222,3,40,0.1
223,3,41,0.1
224,3,42,0.1
225,3,43,0.1
226,3,44,0.1
227,3,45,0.1
228,3,46,0.1
229,3,47,0.1
230,3,48,0.1
231,3,49,0.1
232,3,50,0.1
233,3,51,0.1
234,3,52,0.1
235,3,53,0.1
236,3,54,0.1
237,3,55,0.1
238,3,56,0.1
239,3,57,0.1
240,3,58,0.1
241,3,59,0.1
242,3,60,0.1
243,3,61,0.1
244,3,62,0.1
245,3,63,0.1
246,4,5,0.1
247,4,6,0.1
248,4,7,0.1
249,4,8,0.1
250,4,9,0.1
251,4,10,0.1
252,4,11,0.1
253,4,12,0.1
254,4,13,0.1
255,4,14,0.1
256,4,15,0.1
257,4,16,0.1
258,4,17,0.1
259,4,18,0.1
260,4,19,0.1
261,4,20,0.1
262,4,21,0.1
263,4,22,0.1
264,4,23,0.1
265,4,24,0.1
266,4,25,0.1
267,4,26,0.1
268,4,27,0.1
269,4,28,0.1
270,4,29,0.1
271,4,30,0.1
272,4,31,0.1
273,4,32,0.1
274,4,33,0.1
275,4,34,0.1
276,4,35,0.1
277,4,36,0.1
278,4,37,0.1
279,4,38,0.1
280,4,39,0.1
281,4,40,0.1
282,4,41,0.1
283,4,42,0.1
284,4,43,0.1
285,4,44,0.1
286,4,45,0.1
287,4,46,0.1
288,4,47,0.1
289,4,48,0.1
290,4,49,0.1
291,4,50,0.1
292,4,51,0.1
293,4,52,0.1
294,4,53,0.1
295,4,54,0.1
296,4,55,0.1
297,4,56,0.1
298,4,57,0.1
299,4,58,0.1
300,4,59,0.1
301,4,60,0.1
302,4,61,0.1
303,4,62,0.1
304,4,63,0.1
305,5,6,0.1
306,5,7,0.1
307,5,8,0.1
308,5,9,0.1
309,5,10,0.1
310,5,11,0.1
311,5,12,0.1
312,5,13,0.1
313,5,14,0.1
314,5,15,0.1
315,5,16,0.1
316,5,17,0.1
317,5,18,0.1
318,5,19,0.1
319,5,20,0.1
320,5,21,0.1
321,5,22,0.1
322,5,23,0.1
323,5,24,0.1
324,5,25,0.1
325,5,26,0.1
326,5,27,0.1
327,5,28,0.1
328,5,29,0.1
329,5,30,0.1
330,5,31,0.1
331,5,32,0.1
332,5,33,0.1
333,5,34,0.1
334,5,35,0.1
335,5,36,0.1
336,5,37,0.1
337,5,38,0.1
338,5,39,0.1
339,5,40,0.1
340,5,41,0.1
341,5,42,0.1
342,5,43,0.1
343,5,44,0.1
344,5,45,0.1
345,5,46,0.1
346,5,47,0.1
347,5,48,0.1
348,5,49,0.1
349,5,50,0.1
350,5,51,0.1
351,5,52,0.1
352,5,53,0.1
353,5,54,0.1
354,5,55,0.1
355,5,56,0.1
356,5,57,0.1
357,5,58,0.1
358,5,59,0.1
359,5,60,0.1
360,5,61,0.1
361,5,62,0.1
362,5,63,0.1
363,6,7,0.1
364,6,8,0.1
365,6,9,0.1
366,6,10,0.1
367,6,11,0.1
368,6,12,0.1
369,6,13,0.1
370,6,14,0.1
371,6,15,0.1
372,6,16,0.1
373,6,17,0.1
374,6,18,0.1
375,6,19,0.1
376,6,20,0.1
377,6,21,0.1
378,6,22,0.1
379,6,23,0.1
380,6,24,0.1
381,6,25,0.1
382,6,26,0.1
383,6,27,0.1
384,6,28,0.1
385,6,29,0.1
386,6,30,0.1
387,6,31,0.1
388,6,32,0.1
389,6,33,0.1
390,6,34,0.1
391,6,35,0.1
392,6,36,0.1
393,6,37,0.1
394,6,38,0.1
395,6,39,0.1
396,6,40,0.1
397,6,41,0.1
398,6,42,0.1
399,6,43,0.1
400,6,44,0.1
401,6,45,0.1
402,6,46,0.1
403,6,47,0.1
404,6,48,0.1
405,6,49,0.1
406,6,50,0.1
407,6,51,0.1
408,6,52,0.1
409,6,53,0.1
410,6,54,0.1
411,6,55,0.1
412,6,56,0.1
413,6,57,0.1
414,6,58,0.1
415,6,59,0.1
416,6,60,0.1
417,6,61,0.1
418,6,62,0.1
419,6,63,0.1
420,7,8,0.1
421,7,9,0.1
422,7,10,0.1
423,7,11,0.1
424,7,12,0.1
425,7,13,0.1
426,7,14,0.1
427,7,15,0.1
428,7,16,0.1
429,7,17,0.1
430,7,18,0.1
431,7,19,0.1
432,7,20,0.1
433,7,21,0.1
434,7,22,0.1
435,7,23,0.1
436,7,24,0.1
437,7,25,0.1
438,7,26,0.1
439,7,27,0.1
440,7,28,0.1
441,7,29,0.1
442,7,30,0.1
443,7,31,0.1
444,7,32,0.1
445,7,33,0.1
446,7,34,0.1
447,7,35,0.1
448,7,36,0.1
449,7,37,0.1
450,7,38,0.1
451,7,39,0.1
452,7,40,0.1
453,7,41,0.1
454,7,42,0.1
455,7,43,0.1
456,7,44,0.1
457,7,45,0.1
458,7,46,0.1
459,7,47,0.1
460,7,48,0.1
461,7,49,0.1
462,7,50,0.1
463,7,51,0.1
464,7,52,0.1
465,7,53,0.1
466,7,54,0.1
467,7,55,0.1
468,7,56,0.1
469,7,57,0.1
470,7,58,0.1
471,7,59,0.1
472,7,60,0.1
473,7,61,0.1
474,7,62,0.1
475,7,63,0.1
476,8,9,0.1
477,8,10,0.1
478,8,11,0.1
479,8,12,0.1
480,8,13,0.1
481,8,14,0.1
482,8,15,0.1
483,8,16,0.1
484,8,17,0.1
485,8,18,0.1
